paper_id,title,source
649def34f8be52c8b66281af98ae884c09aef38f9,"Attention Is All You Need","user_collection"
204e3073870fae3d05bcbc2f6a8e263d9b72e776,"BERT: Pre-training of Deep Bidirectional Transformers","literature_review"
2b8a9c9c9d8f7e6d5c4b3a29f8e7d6c5b4a39f8e,"ResNet: Deep Residual Learning for Image Recognition","computer_vision"
f2a8a3b4c5d6e7f8g9h0i1j2k3l4m5n6o7p8q9r0,"GPT-3: Language Models are Few-Shot Learners","nlp_research"
a1b2c3d4e5f6789012345678901234567890abcd,"AlexNet: ImageNet Classification with Deep CNNs","deep_learning"
5c4b3a29f8e7d6c5b4a39f8e7d6c5b4a39f8e7d6,"Transformer Architecture in Computer Vision","vision_transformer"
e3d2c1b0a9f8e7d6c5b4a39f8e7d6c5b4a39f8e7,"Graph Neural Networks: A Review","graph_learning"
1a2b3c4d5e6f7890abcdef1234567890abcdef12,"Reinforcement Learning: An Introduction","rl_foundations"
9f8e7d6c5b4a39f8e7d6c5b4a39f8e7d6c5b4a3,"Generative Adversarial Networks","generative_models"
4d3c2b1a0f9e8d7c6b5a49f8e7d6c5b4a39f8e7,"Neural Machine Translation by Jointly Learning","translation"
